At 2018/3/2 11:28:24 (0), Service Start
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 115
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 116
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 117
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 118
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 119
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 120
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 121
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 122
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 123
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 124
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 125
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 126
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 127
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 128
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 129
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 130
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 131
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 132
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:29 (0), 插入Issue
At 2018/3/2 11:29:29 (0), 插入Issue成功
At 2018/3/2 11:29:29 (0), 0
At 2018/3/2 11:29:29 (0), 133
At 2018/3/2 11:29:29 (0), 1234560
At 2018/3/2 11:29:29 (0), step1
At 2018/3/2 11:29:29 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 134
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 135
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 136
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 137
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 138
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 139
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 140
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 141
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 142
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 143
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 144
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 145
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 146
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 147
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 148
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 149
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 150
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 151
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 152
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 153
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:30 (0), 插入Issue成功
At 2018/3/2 11:29:30 (0), 0
At 2018/3/2 11:29:30 (0), 154
At 2018/3/2 11:29:30 (0), 1234560
At 2018/3/2 11:29:30 (0), step1
At 2018/3/2 11:29:30 (0), step2
At 2018/3/2 11:29:30 (0), 插入Issue
At 2018/3/2 11:29:31 (0), 插入Issue成功
At 2018/3/2 11:29:31 (0), 55861
At 2018/3/2 11:29:31 (0), dlltype:facebook
At 2018/3/2 11:29:31 (0), 进入Analysis之前
At 2018/3/2 11:29:31 (0), 进入Analysis
At 2018/3/2 11:29:31 (0), facebook
At 2018/3/2 11:29:31 (0), HO测试2
At 2018/3/2 11:29:31 (0), 进入k11
At 2018/3/2 11:29:31 (0), notification toemail:autoedm@reasonable.cn
At 2018/3/2 11:29:31 (0), System.TypeInitializationException: The type initializer for 'Analysis.EFHelper' threw an exception. ---> System.Data.MetadataException: Unable to load the specified metadata resource.
   at System.Data.Metadata.Edm.MetadataArtifactLoaderCompositeResource.LoadResources(String assemblyName, String resourceName, ICollection`1 uriRegistry, MetadataArtifactAssemblyResolver resolver)
   at System.Data.Metadata.Edm.MetadataArtifactLoaderCompositeResource.CreateResourceLoader(String path, ExtensionCheck extensionCheck, String validExtension, ICollection`1 uriRegistry, MetadataArtifactAssemblyResolver resolver)
   at System.Data.Metadata.Edm.MetadataCache.SplitPaths(String paths)
   at System.Data.Common.Utils.Memoizer`2.Result.GetValue()
   at System.Data.Common.Utils.Memoizer`2.Evaluate(TArg arg)
   at System.Data.EntityClient.EntityConnection.GetMetadataWorkspace(Boolean initializeAllCollections)
   at System.Data.Objects.ObjectContext.RetrieveMetadataWorkspaceFromConnection()
   at System.Data.Objects.ObjectContext..ctor(EntityConnection connection, Boolean isConnectionConstructor)
   at System.Data.Objects.ObjectContext..ctor(String connectionString, String defaultContainerName)
   at Analysis.EmailAlerterEntities..ctor() in F:\gitPRO\K11SEO\FacebookSEO\Analysis\DressLilyModel.Designer.vb:line 62
   at Analysis.EFHelper..cctor() in F:\gitPRO\K11SEO\FacebookSEO\Analysis\EFHelper.vb:line 18
   --- End of inner exception stack trace ---
   at Analysis.EFHelper..ctor()
   at Analysis.K11forFBSeo..ctor() in F:\gitPRO\K11SEO\FacebookSEO\Analysis\K11forFBSeo.vb:line 10
   at Analysis.MainStart.Start(String dllType, Int32 IssueID, Int32 siteId, String planType, Int32 splitContactCount, String spreadLogin, String appId, String url, String categories, String subject, Int32 productCount, String utmCode) in F:\gitPRO\K11SEO\FacebookSEO\Analysis\MainStart.vb:line 52
   at EmailAlerter.AutoModel.GetRssSubscriptionAndInsertAndSentEmail(List`1 logList) in F:\gitPRO\K11SEO\EmailAlerterFacebook\EmailAlerter\EmailAlerter\EmailAlerter\AutoModel.vb:line 96
At 2018/3/2 11:29:31 (0), notification toemail:autoedm@reasonable.cn
At 2018/3/2 11:29:31 (0), System.Exception: System.TypeInitializationException: The type initializer for 'Analysis.EFHelper' threw an exception. ---> System.Data.MetadataException: Unable to load the specified metadata resource.
   at System.Data.Metadata.Edm.MetadataArtifactLoaderCompositeResource.LoadResources(String assemblyName, String resourceName, ICollection`1 uriRegistry, MetadataArtifactAssemblyResolver resolver)
   at System.Data.Metadata.Edm.MetadataArtifactLoaderCompositeResource.CreateResourceLoader(String path, ExtensionCheck extensionCheck, String validExtension, ICollection`1 uriRegistry, MetadataArtifactAssemblyResolver resolver)
   at System.Data.Metadata.Edm.MetadataCache.SplitPaths(String paths)
   at System.Data.Common.Utils.Memoizer`2.Result.GetValue()
   at System.Data.Common.Utils.Memoizer`2.Evaluate(TArg arg)
   at System.Data.EntityClient.EntityConnection.GetMetadataWorkspace(Boolean initializeAllCollections)
   at System.Data.Objects.ObjectContext.RetrieveMetadataWorkspaceFromConnection()
   at System.Data.Objects.ObjectContext..ctor(EntityConnection connection, Boolean isConnectionConstructor)
   at System.Data.Objects.ObjectContext..ctor(String connectionString, String defaultContainerName)
   at Analysis.EmailAlerterEntities..ctor() in F:\gitPRO\K11SEO\FacebookSEO\Analysis\DressLilyModel.Designer.vb:line 62
